"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Jun"	"6"	85.39	73.05
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Jul"	"7"	89.91	76.74
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Aug"	"8"	90.28	77.29
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Sep"	"9"	85.77	73.74
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Oct"	"10"	80.54	67.03
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Nov"	"11"	74.31	59.02
	"Flagler County, FL"	"12035"	"1999"	"1999"	"Dec"	"12"	69.26	52.11
"Total"	"Flagler County, FL"	"12035"	"1999"	"1999"			79.66	63.70
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Jan"	"1"	67.95	49.95
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Feb"	"2"	70.41	50.70
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Mar"	"3"	77.43	56.71
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Apr"	"4"	78.23	56.92
	"Flagler County, FL"	"12035"	"2000"	"2000"	"May"	"5"	87.29	65.88
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Jun"	"6"	88.89	72.83
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Jul"	"7"	89.76	75.35
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Aug"	"8"	88.84	75.44
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Sep"	"9"	85.45	74.79
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Oct"	"10"	78.98	63.75
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Nov"	"11"	73.11	54.42
	"Flagler County, FL"	"12035"	"2000"	"2000"	"Dec"	"12"	66.48	49.86
"Total"	"Flagler County, FL"	"12035"	"2000"	"2000"			79.43	62.25
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Jan"	"1"	64.33	44.52
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Feb"	"2"	74.29	58.54
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Mar"	"3"	72.46	54.25
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Apr"	"4"	79.33	59.51
	"Flagler County, FL"	"12035"	"2001"	"2001"	"May"	"5"	83.81	65.87
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Jun"	"6"	88.20	74.83
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Jul"	"7"	87.40	76.70
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Aug"	"8"	88.00	76.66
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Sep"	"9"	83.29	74.07
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Oct"	"10"	79.31	65.89
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Nov"	"11"	76.20	62.62
	"Flagler County, FL"	"12035"	"2001"	"2001"	"Dec"	"12"	72.77	57.67
